place_id,name,address,phone,google_maps_url,business_status,categories,price_level,description,dine_in,takeout,delivery,reservable,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_beer,serves_wine,serves_vegetarian_food,wheelchair_accessible,rating,total_reviews,customer_reviews,opening_hours,open_now,photos_analysed,ambiance_style,website_file
ChIJ926DHCJu5kcR5LTgZLnzNnM,La Tour Montlhéry - Chez Denise,"5 Rue des Prouvaires, 75001 Paris, France",01 42 36 21 82,https://maps.google.com/?cid=8302090940691035364,OPERATIONAL,restaurant,€€,Ce bistrot à la salle aux poutres apparentes sert des plats de viande copieux sur des nappes à carreaux.,True,False,False,True,False,,True,True,True,True,False,,4.3,2541,"[{""author"": ""Benjamin"", ""rating"": 4, ""text"": ""Cadre vraiment charmant, avec une atmosphère typique de vieille brasserie parisienne : chaleureux, animé, authentique, presque hors du temps, bruyant aussi. Le service est aux petits oignons, accueillant, attentionné, irréprochable, un vrai plaisir de ce côté-là.\n\nEn revanche, côté assiette, je reste plus partagé. L’andouillette était assez sèche (peut-être est-ce normal, mais je m’attendais à plus de moelleux), les frites franchement quelconques. Le confit de canard, lui aussi, trop cuit à mon goût, manquait de fondant, même si les pommes de terre qui l’accompagnaient étaient excellentes.\n\nAu final, une adresse au charme indéniable et qui mérite la visite pour l’expérience et le cadre. Mais la cuisine, sans être mauvaise, ne m’a pas vraiment enthousiasmé. Et la forte présence de touristes peut donner l’impression d’un lieu un peu “attrape-touristes\""."", ""time"": ""il y a 7 mois""}, {""author"": ""Benoit Fourny"", ""rating"": 5, ""text"": ""Une première dans ce bistrot chargé d'histoire de Paris. Accueil adorable et souriant, bons conseils. Les tripes généreuses, pas évident de terminer ! Charlotte aux framboises à partager.\nLe tout dans une ambiance d'habitués. On recommande et on reviendra !"", ""time"": ""il y a 5 mois""}, {""author"": ""N K"", ""rating"": 5, ""text"": ""Nous avons passé un excellent moment dans ce restaurant authentique, spécialisé dans la cuisine traditionnelle française. Les plats étaient savoureux, généreux et préparés avec un vrai savoir-faire. Nous avons particulièrement apprécié le lieu : un cadre atypique, très cosy, avec une ambiance chaleureuse et familiale. On s’y sent bien dès l’arrivée.\nUn véritable coup de cœur pour cette adresse où l’on ressort satisfait et avec l’envie de revenir !"", ""time"": ""il y a 5 mois""}, {""author"": ""Dominique APPIETTO"", ""rating"": 5, ""text"": ""C’est bruyant, on vous colle à une table avec Deux inconnus… mais ça fait partie du truc. Cette ambiance de bistrot parisien légendaire.\nLes portions sont gargantuesques et c’est tellement bon ! Un confit de canard (4 cuisses pour 2 avec un max de pommes de terre) exceptionnellement bon. On a pas pu prendre de désert mais le baba au rhum était énorme et avait l’air suprêmement bon."", ""time"": ""il y a 6 mois""}, {""author"": ""Fundraiser Paris"", ""rating"": 3, ""text"": ""Que s’est-il passé en cuisine ?\nL’ambiance est toujours là et le service est très bien, attentif et agréable. Mais la cuisine, elle, est partie en vrille. L’épaule de cochon de lait est cuisinée dans des poivrons, au point que leur goût dominant efface toute autre saveur. Le pied de porc est parfumé à la badiane, le cassoulet ressemble davantage à une soupe de tomates aux petits haricots avec un morceau de confit ajouté à la hâte, sans parler du mouton aux haricots, lui aussi noyé dans la sauce tomate.\n\nOn a l’impression que le chef fait bouillir une marmite de sauce tomate et l’ajoute à tous les plats possibles — et même à ceux qu’on n’aurait pas imaginés.\n\nLe foie gras, en revanche, est excellent, et le vin est toujours très bien."", ""time"": ""il y a 2 mois""}]",lundi: 12:00 – 00:00 | mardi: 12:00 – 00:00 | mercredi: 12:00 – 00:00 | jeudi: 12:00 – 00:00 | vendredi: 12:00 – 00:00 | samedi: 12:00 – 00:00 | dimanche: 12:00 – 00:00,True,0,,websites/La_Tour_Montlhéry_-_Chez_Denise_gZLnzNnM.html
ChIJywafyi9u5kcRBS5lsgTaE4Y,La Corte,"320 Rue Saint-Honoré, 75001 Paris, France",01 42 60 45 27,https://maps.google.com/?cid=9661305339347545605,OPERATIONAL,restaurant,€€€,"Spécialités italiennes à découvrir dans une salle confortable au décor simple, dont les murs sont boisés.",True,False,False,True,False,False,True,True,True,True,,True,4.6,335,"[{""author"": ""Spyro “Le dragon violet”"", ""rating"": 5, ""text"": ""Un vrai coup de cœur ❤️ Un petit restaurant italien bien caché, mais comme on les aime. Des pâtes pleines de saveurs, une cuisine faite avec le cœur, une ambiance calme et chaleureuse. Le patron et son fils sont adorables et aux petits soins. On a tous validé à 100 % !"", ""time"": ""il y a 3 mois""}, {""author"": ""Charlotte P"", ""rating"": 5, ""text"": ""Un véritable restaurant italien niché dans une cour discrète. L’accueil est chaleureux et l’ambiance familiale, on a l’impression de pousser la porte d’une maison authentique.\n\nLes plats sont un pur délice : une cuisine italienne traditionnelle et généreuse ! Mention particulière pour le tiramisu, un incontournable pour les amateurs de desserts."", ""time"": ""il y a un an""}, {""author"": ""Susanne Dausel"", ""rating"": 5, ""text"": ""Un merveilleux restaurant italien ! J'y vais depuis 20 ans et je me régale à chaque fois ! Les ingrédients sont de très grande qualité et cuisinés à merveille ! Les patrons sont adorables et on y passe un toujours un excellent moment !"", ""time"": ""il y a 2 ans""}, {""author"": ""Hassi"", ""rating"": 5, ""text"": ""Un petite restauration remplie de charme à l'italienne.\nLe lieu est situé dans un immeuble  rue St honoré, il faut traverser une cour pour l'apercevoir,bien à l'abri des passants et du bruit des voitures.\nUne cuisine simple mais de qualité,les ingrédients sont de saison.\nLes plats du jours sont présentés sur une ardoise,il y en a pour tout les goûts (végétariens, vegane,ou viandares)\nL'accès à ce restaurant ce fait plus facilement à pieds ou en transport en commun ligne 1 Tuileries.\nJe vous conseille de réserver votre table 24h à l'avance car complet pendant le service."", ""time"": ""il y a 2 ans""}, {""author"": ""Orlando Danao"", ""rating"": 5, ""text"": ""Un véritable trésor caché au fond d’une cour du 1er arrondissement. La Corte est un restaurant familial siciliano-romain où chaque plat respire l’authenticité et la sincérité. Les produits sont de première qualité, la cuisine très savoureuse et l'accueil chaleureux. L'un de mes restaurants italiens préférés de Paris !\n\nA true hidden gem tucked away in a courtyard of the 1st arrondissement. Ma Corte is a family-run Sicilian-Roman restaurant where every dish is full of authenticity. Quality ingredients, delicious cuisine, warm hospitality… one of my favorite Italian spots in Paris !"", ""time"": ""il y a 8 mois""}]","lundi: 12:30 – 14:00, 19:30 – 22:00 | mardi: 12:30 – 14:00, 19:30 – 22:00 | mercredi: 12:30 – 14:00, 19:30 – 22:00 | jeudi: 12:30 – 14:00, 19:30 – 22:00 | vendredi: 12:30 – 14:00, 19:30 – 22:00 | samedi: 19:30 – 22:15 | dimanche: Fermé",False,0,,websites/La_Corte_lsgTaE4Y.html
ChIJgzMLXS5u5kcRFgBxs_LUwIo,Happy Caffé,"214 Rue de Rivoli, 75001 Paris, France",09 53 52 96 91,https://maps.google.com/?cid=9998225311620202518,OPERATIONAL,"cafe, restaurant, store",€,"Café simple vendant crêpes salées et sucrées, sandwichs dans une baguette et pâtisseries à emporter.",True,True,True,False,True,True,True,True,True,True,True,True,4.9,9958,"[{""author"": ""Gaëlle Bolleret"", ""rating"": 3, ""text"": ""Ce café propose effectivement des prix compétitifs, mais la qualité laisse à désirer. J’ai commandé un tiramisu : il est dommage de l’appeler ainsi, puisqu’il s’agissait simplement d’un pot contenant de la chantilly et du spéculoos écrasé. En revanche, le service reste agréable malgré tout."", ""time"": ""il y a 4 mois""}, {""author"": ""The_Nether02"", ""rating"": 5, ""text"": ""Vraiment l’une des meilleures crêperies où j’ai été manger.\nAccueil incroyable par Christian !\nUne personne exceptionnelle avec un grand sourire qui vous accueillera les bras ouverts !\nLes crêpes sont excellentes et je recommande la crème brûlé !\nJ’ai oublié de demander une crêpe sans fromage et il me l’a refait en ajoutant des tomates et un œuf !\nVraiment je recommande +++ !"", ""time"": ""il y a 9 mois""}, {""author"": ""Jade Shelton"", ""rating"": 5, ""text"": ""The food was delicious and the staff was extremely kind and gave great service! The food is cheap but incredible!\nLa nourriture est délicieuse et le personnel est extrêmement gentil et rendre un excellent service ! Le nourriture est pas cher mais incroyable !"", ""time"": ""il y a 4 mois""}, {""author"": ""Stephanie Frioux Yebra"", ""rating"": 5, ""text"": ""A 2 pas du Louvre.. Nous avons posé notre dévolu sur ce petit espace. Au delà de la gentillesse de l'équipe les crêpes sont excellentes..\nN'hésitez pas à vous y arrêter .. bonne dégustation"", ""time"": ""il y a 6 mois""}, {""author"": ""Vanessa Ruiz"", ""rating"": 5, ""text"": ""Super bien mangé,  personnelle très agréable. Les crêpes sont une tuerie...!!"", ""time"": ""il y a 5 mois""}]",lundi: 07:30 – 22:30 | mardi: 07:30 – 22:30 | mercredi: 07:30 – 22:30 | jeudi: 07:30 – 22:30 | vendredi: 07:30 – 22:30 | samedi: 07:30 – 22:30 | dimanche: 07:30 – 22:30,False,0,,websites/Happy_Caffé_xs_LUwIo.html
ChIJ5wEXqixv5kcRu5pTwcYI7OU,Zakuro,"4 Rue de Port-Mahon, 75002 Paris, France",,https://maps.google.com/?cid=16567626778929240763,OPERATIONAL,restaurant,,Petit restaurant à la décoration simple proposant des plats japonais maison et des cocktails.,True,False,False,False,False,False,True,True,True,False,True,,4.8,788,"[{""author"": ""Naïla Banian"", ""rating"": 5, ""text"": ""Ce qu'on aime d'un restaurant authentique et chaleureux et comme il en existe plus beaucoup à Paris ...\nÉtablissement tenu par le chef et sa maman, et d'une petite équipe cuisine et salle formidable.\nPlats parfaitement maîtrisés, ambiance chaleureuse et familiale.\nTout était parfait pour un dîner au comptoir que nous avons particulièrement apprécié.\nMention spéciale pour la gentillesse et  la tendresse de la maîtresse des lieux et pour les précieux conseils du maître des lieux pour ses accord mets / sakés.\nLaissez vous influencer il est de très bon conseil !\nTable à garder en très bonne adresse !"", ""time"": ""il y a 6 mois""}, {""author"": ""Marie Bresson"", ""rating"": 5, ""text"": ""Nous avons eu la possibilité de faire une étonnante découverte culinaire.\nDe la générosité dans les plats\nDans les sourires le temps du services\nUne petite salle pour une dégustation intimiste\nEt l'oenologie saké permet une belle decouverte"", ""time"": ""il y a 2 mois""}, {""author"": ""Dominique APPIETTO"", ""rating"": 5, ""text"": ""Parfait restaurant japonais ! Peu de tables, un petit comptoir… l’impression d’être à Tokyo.\nLe patron est un vrai connaisseur du Saké et ceux proposés sont assez exceptionnels.\nCôté cuisine, tout est terriblement bon et fait maison.\nL’accueil est fort sympathique.\nUne adresse à suivre…"", ""time"": ""il y a 6 mois""}, {""author"": ""Alessia"", ""rating"": 5, ""text"": ""C’est la deuxième fois que je déjeune chez Zakuro et je n’ai rien à dire. Les plats sont délicieux et surtout goûtu et le service impeccable. L’atmosphère est conviviale et je conseille vivement d’y aller pour vivre cette petite expérience agréable qui nous fait oublier le reste !"", ""time"": ""il y a 3 mois""}, {""author"": ""Estelle T"", ""rating"": 5, ""text"": ""Une cuisine Japonaise rarement trouvée sur Paris, beaucoup de saveurs, des ingrédients de qualité, très savoureuses! Mère\net fils nous ont prodigué pleins de conseils et explications sur les plats et le saké. Nous avions apprécié cette bienveillance tout au long du repas. Bref, nous avons été enchantés par notre dîner! Nous reviendrons."", ""time"": ""il y a 7 mois""}]","lundi: Fermé | mardi: 19:00 – 21:00 | mercredi: 12:00 – 13:00, 19:00 – 21:00 | jeudi: 12:00 – 13:30, 19:00 – 21:00 | vendredi: 12:00 – 13:30, 19:00 – 21:00 | samedi: 12:00 – 13:30, 19:00 – 21:00 | dimanche: Fermé",False,0,,
ChIJNf2Q_K1v5kcRs8ece__lcTs,Le Petit Bal,"36 Rue Léopold Bellan, 75002 Paris, France",01 45 08 45 83,https://maps.google.com/?cid=4283457606059345843,OPERATIONAL,restaurant,,,True,True,False,True,True,,True,True,True,True,,,4.3,328,"[{""author"": ""Béni “Uncle Ben” Johnson"", ""rating"": 4, ""text"": ""Je cherchais une adresse conviviale pour voir le match de l’Euro de l’équipe de France avec idéalement une terrasse et une cuisine sympathique.\nMon choix s’est orienté vers le Petit Bal dont j’ai eu bonne presse.\nJ’avais réservé une table pour 3 personnes pour le début du match, on a dû attendre que la table se libère (du moins ils ont dit aux clients de finir leurs boissons car la table était réservée).\nIl y avait forte affluence donc j’ai commandé directement au bar nos boissons le temps d’avoir la table et on avait soif (grosse chaleur sur Paris ce jour là).\nOn a bien compris que les serveurs étaient débordés ce jour là, le temps d’attente pour la commande et avoir les plats était long mais la nourriture était bonne, les boissons aussi et surtout l’établissement se trouve dans une rue très calme.\nAprès l’effervescence du match c’était encore plus agréable de profiter de la terrasse.\nJe vais y retourner pour me faire un 2ième avis"", ""time"": ""il y a un an""}, {""author"": ""linda bouderbala"", ""rating"": 4, ""text"": ""Jolie terrasse dans une rue assez calme pour le quartier, serveurs vraiment super sympas et une carte avec des options veggies : une belle découverte !\nPetit bémol tout de même avec la salade de tomates vendues comme un plat et au prix d'un plat alors que cest clairement une entrée en terme de quantité. Mais une fois le problème adressé au serveur, on a eu le droit à un geste commercial, c'est super rare et très appréciable "", ""time"": ""il y a un an""}, {""author"": ""Sonia Trembacz"", ""rating"": 5, ""text"": ""Nous sommes venues avec 2 amies pendant un match de l'Euro et j'avais expressément demandé à être le plus loin du match possible pour discuter tranquille !\nAu final nous avions une super table au bout de la terrasse et un super serveur qui a bien pris soin de nous malgré l'effervescence de l'évènement.\nNous avons pris pas mal de plats à partager : tous très bons ! Bref c'était une super soirée :)"", ""time"": ""il y a un an""}, {""author"": ""Antoine Peyras"", ""rating"": 5, ""text"": ""Nous avons passez un moment inoubliable en compagnie de Thanh la patronne.\nLa charcuterie est incroyable et l’ambiance mémorable. JE RECOMANDE !"", ""time"": ""il y a 2 mois""}, {""author"": ""ti epa"", ""rating"": 5, ""text"": ""EXCELLENT! La nourriture est juste parfaite et de qualité à des prix abordables, le ricard Mule en vaut vraiment de détour, sans compter sur l’accueil ultra chaleureux du responsable, on se croirait en vacances! On a pris pour 2 : 4 plats différents, 2 desserts, et cocktails, et je pense sincèrement que c’est une combinaison parfaite entre brunch et repas (surtout impossible de choisir qu’un plat)"", ""time"": ""il y a 2 ans""}]","lundi: 12:00 – 15:00, 18:30 – 02:00 | mardi: 12:00 – 15:00, 18:30 – 02:00 | mercredi: 12:00 – 15:00, 18:30 – 02:00 | jeudi: 12:00 – 15:00, 18:30 – 02:00 | vendredi: 12:00 – 15:00, 18:30 – 02:00 | samedi: 12:00 – 02:00 | dimanche: Fermé",True,0,,
ChIJHdeFjhlu5kcRlpMTb5Z7UGI,La cantine des Pieds Nickelés,"120 Rue St Denis, 75002 Paris, France",,https://maps.google.com/?cid=7084298099892654998,OPERATIONAL,restaurant,€€,Ce bistrot convivial propose une ardoise créative avec billes de mozza panées et magret de canard au miel.,True,,False,True,True,,True,True,True,True,True,,4.5,427,"[{""author"": ""Damien Villagra"", ""rating"": 5, ""text"": ""Je vais à Châtelet pour refaire ma carte Navigo et je tombe sur cette pépite!\nIl fait 10 degrés,il pleut et ils proposent des plats bien assaisonnés,beaux et délicieux au possible (Carte réduite qui m'attire).\nJ'ai pris la soupe réconfortante par cette température et le ragoût de pois chiche/patates douces/oeuf mollet (cuisson parfaite et assaisonnements extraordinaire).\nLe pain n'est pas une vulgaire baguette traditionnelle et la salade en plus est juste l'excuse idéale pour un dessert.\nLa serveuse est adorable et le cuisinier est en hauteur dans une cuisine ouverte...que voulez-vous de plus pour être sûr de la qualité de votre repas?\nLa tarte tatin est bien évidemment un scandale de délice et l'expression servi dans une tasse trop mignonne....\nJ'ai pris un verre de Pouilly Fumé,une soupe,un plat, une part de tarte et un café....34 €!\nJe vous en conjure,rentrez manger chez eux!"", ""time"": ""il y a 3 mois""}, {""author"": ""D B"", ""rating"": 5, ""text"": ""Super service et superbe repas! Ils ont le sourire, sont vraiment accueillants et agréables, ce qui change de certains services sur la capitale! Les repas sont copieux et comme à la maison! On s’y sent bien et on y mange bien! Les rapport qualité prix est présent, nous reviendrons."", ""time"": ""il y a 8 mois""}, {""author"": ""Tania Rieu"", ""rating"": 5, ""text"": ""Je viens souvent dans ce bar, l'ambiance est très cool et les prix abordables. Je suis déjà venue déjeuner le midi aussi, mention spéciale aux plats végétariens (on apprécie la vraie option végé et pas juste le classique \""steak frites sans steak\"" qu'on a l'habitude d'avoir)"", ""time"": ""il y a 11 mois""}, {""author"": ""Sibelle Vetorptrol"", ""rating"": 5, ""text"": ""Trop bien comme endroit pour se retrouver entre copains ! L’espace est intimiste pour ne dire pas très grand mais c’est ce qui ajoute au charme\nEt aussi les boissons sont top ! Super conseils sur les bières et les cocktails classique comme on les aimes\n(En plus dites pas que je vous l’ai dit mais c’est pas cher surtout pour Paris !)"", ""time"": ""il y a 7 mois""}, {""author"": ""Naji Scarfone"", ""rating"": 5, ""text"": ""Un lieu incontournable le midi. Des plats savoureux qui évoluent au gré des saisons et de l'humeur du chef. Une cuisine qui fait la part belle à la générosité mais qui ne néglige à aucun moment la qualité. Une belle adresse, simple et authentique, qui donne envie de revenir encore et encore."", ""time"": ""il y a 6 ans""}]",lundi: 15:00 – 01:45 | mardi: 15:00 – 01:45 | mercredi: 15:00 – 01:45 | jeudi: 15:00 – 01:45 | vendredi: 15:00 – 01:45 | samedi: 15:00 – 01:45 | dimanche: 15:00 – 01:45,True,0,,websites/La_cantine_des_Pieds_Nickelés_Tb5Z7UGI.html
ChIJkcwMnwFv5kcRTL-qth7Tymw,MEILLEUR LIBANAIS À PARIS 3e Rannouch City,"44 R. de Turbigo, 75003 Paris, France",09 84 15 64 19,https://maps.google.com/?cid=7839310230258892620,OPERATIONAL,restaurant,,,True,True,True,True,True,,True,True,,,True,,4.8,1888,"[{""author"": ""Juliette Dal Maso"", ""rating"": 5, ""text"": ""Quoi de mieux que de se laisser surprendre par cette adresse chaleureuse au détour d’une balade parisienne. Une superbe trouvaille se cache chez Rannouch, un traiteur libanais chez qui il fait bon vivre… et bon manger. Le patron vous accueille avec un bon thé (et le sourire en prime 😁). Quelques tables permettent de déguster de très bon shawarmas, la viande est tendre et goûtue, les produits sont frais. Mention spéciale pour le moutabal !"", ""time"": ""il y a 4 mois""}, {""author"": ""Nadege Piscou"", ""rating"": 5, ""text"": ""Lors de notre passage à Paris, nous voulions faire un restaurant libanais. Et nous sommes tombés sur celui-ci.\nNous recommandons vivement, les plats sont délicieux et copieux\nLe gérant très gentil"", ""time"": ""il y a 2 mois""}, {""author"": ""olympe sicard"", ""rating"": 5, ""text"": ""Superbe ! Un accueil chaleureux avec un verre de thé délicieux, et en plus on peut se resservir ! ☺️ Le gérant était incroyablement courtois et la nourriture très bonne. Les prix sont hyper abordables et on est repartit avec une poche pleine de reste. Je recommande fortement"", ""time"": ""il y a 6 mois""}, {""author"": ""Lindita Bajramov"", ""rating"": 4, ""text"": ""Nous avons testé ce snack libanais hier soir et l’expérience était globalement agréable.\nIl y a peu de places pour s’asseoir, mais nous avons tout de même pu nous installer.\nNous avons choisi plusieurs mezzés ainsi que des samboussek. Les mezzés étaient bons. Les samboussek, en revanche, avaient un problème de cuisson à l’intérieur, la pâte était encore crue autour de la farce. Cela reste un détail qui pourra sûrement être amélioré.\nLe service était bon."", ""time"": ""il y a 4 mois""}, {""author"": ""Laurence Rochat"", ""rating"": 5, ""text"": ""Tout simplement excellent.\nLe patron est un monsieur très sympathique.\nJe recommande."", ""time"": ""il y a 4 mois""}]",lundi: 11:30 – 01:00 | mardi: 11:30 – 01:00 | mercredi: 11:30 – 01:00 | jeudi: 11:30 – 01:00 | vendredi: 11:30 – 01:30 | samedi: 11:30 – 01:30 | dimanche: 11:30 – 00:00,True,0,,websites/MEILLEUR_LIBANAIS_À_PARIS_3e_Rannouch_City_qth7Tymw.html
ChIJgbiM9oFv5kcR9ndAP3bqrIg,Da Melo Cucina Italiana,"73 Rue des Archives, 75003 Paris, France",09 84 14 27 09,https://maps.google.com/?cid=9848504278740662262,OPERATIONAL,restaurant,,,True,,,True,True,,True,True,True,True,True,,4.9,554,"[{""author"": ""juan gonzalez"", ""rating"": 5, ""text"": ""Nous avons pris 3 plats, une entrée et un dessert tout était excellent.\nLe restau est petit mais accueillant et charmant… le serveur est super sympa, toujours attentif.\nÇa fait plaisir de manger comme à la casa della nonna je recommande 👏🏼"", ""time"": ""il y a 5 mois""}, {""author"": ""Skp"", ""rating"": 3, ""text"": ""Déçue par les salades sans intérêt, je m’attendais à une vraie salade italienne, généreuse, mais c’était une simple salade verte, avec des tomates , du pain de la veille en croûton mi mou, mi croquant, quelques mini bout d’aubergines grillées, bref cher pour une salade aussi simple 18€. La même pour la salade Classica avec 3 tranches de jambon cru industriel posé dessus 19€. J’aurais peut être dû gouter les pâtes…"", ""time"": ""il y a un an""}, {""author"": ""Natasha Esta"", ""rating"": 4, ""text"": ""Très bons plats avec des portions très copieuses. Malheureusement le tiramisu est un grand flop, avec du sucre saupoudré dessus, et une texture très dure, probablement parce que le dessert nous a été servi extrêmement froid. Serveur sympa mais le pauvre gère tout le resto seul, donc un peu d’attente surtout pour un soir lorsque c’est complet"", ""time"": ""il y a un an""}, {""author"": ""vali Valou"", ""rating"": 5, ""text"": ""Un régal pour la papilles avec un service au top. Les prix très abordables. L’accueil était très chaleureux malgré le fait que les copines soient arrivées au compte goutte tout au long de la soirée. Nous avons même eu droit à des petites cadeaux de la maison.\nJe recommande !"", ""time"": ""il y a 5 mois""}, {""author"": ""Matthieu Franche"", ""rating"": 5, ""text"": ""Tout est incroyable, on sent le restaurant de passionnés et de cœur tout est incroyable"", ""time"": ""il y a 5 mois""}]","lundi: Fermé | mardi: 12:00 – 14:30, 19:00 – 22:30 | mercredi: 12:00 – 14:30, 19:00 – 22:30 | jeudi: 12:00 – 14:30, 19:00 – 22:30 | vendredi: 12:00 – 14:30, 19:00 – 22:30 | samedi: 12:00 – 14:30, 19:00 – 22:30 | dimanche: Fermé",False,0,,websites/Da_Melo_Cucina_Italiana_AP3bqrIg.html
ChIJo8EpzExv5kcRUmdn_P6qd1c,Les Chartrons,"2 Rue au Maire, 75003 Paris, France",01 40 27 88 02,https://maps.google.com/?cid=6302694215661348690,OPERATIONAL,"bar, restaurant",,,True,False,False,True,True,,True,True,True,True,True,,4.7,276,"[{""author"": ""John SAVAGE"", ""rating"": 5, ""text"": ""Une épicerie à l’ancienne d’un autre temps transformée en un charmant restaurant qui a su tirer parti de l’ADN du lieu. C’est un joli voyage pour tous ceux qui aura la chance d’y trouver une place. Nous sommes toujours reçus avec beaucoup de gentillesse. La carte est courte car  à l’ardoise il n’y a que des plats traditionnels frais qui se renouvellent chaque jour. C’est bon.\nLa maison mise aussi sur des bières et vins de qualité.\nLes chaises en bois dépareillées souvent usées attisent une plaisante nostalgie. Ici il faut savoir aussi prendre son temps car tout est cuisiné à la demande. Savourez."", ""time"": ""il y a 4 mois""}, {""author"": ""Laurent LEMOINE"", ""rating"": 5, ""text"": ""Nous avons adoré!\nEtablissement très bien tenu, cuisine très généreuse, vins choisis avec une grande sagesse et un nez de connaisseur, service aimable et efficace.\nRestaurant d'habitués ou il fait bon s'arrêter.\nPas de touristes ni de bobos. Un vrai bonheur."", ""time"": ""il y a 7 mois""}, {""author"": ""Skp"", ""rating"": 4, ""text"": ""Bistrot cantine parisien, dans une petite rue en angle sans trop de passage, possibilité de manger en terrasse ensoleillée à midi. Rapport qualité prix correct pour le quartier. Entrée + Plat 18,90€. Le ceviche manquait d’herbes, de saveurs, de générosité : huile d’olive, citron, sel et poivre…on reviendra !"", ""time"": ""il y a un an""}, {""author"": ""David"", ""rating"": 5, ""text"": ""Très bon restaurant et service toujours au top. La gentillesse du personnels et les repas sont toujours bien présentés et bons à déguster. A découvrir absolument"", ""time"": ""il y a un an""}, {""author"": ""Romy DE ROCHEFORT"", ""rating"": 2, ""text"": ""Bon tatare. Les pommes de terres étaient parfaitement cuite.\n\nTemps d’attente des plats un peu long. Regrettable. De plus, le serveuse semblait retissante à l’idée de nous donner du pain lorsque nous en avons redemandé."", ""time"": ""il y a 10 mois""}]",lundi: 10:00 – 00:00 | mardi: 10:00 – 00:00 | mercredi: 10:00 – 00:00 | jeudi: 10:00 – 00:00 | vendredi: 10:00 – 00:00 | samedi: 10:00 – 00:00 | dimanche: Fermé,True,0,,websites/Les_Chartrons_n_P6qd1c.html
ChIJB1tBr81v5kcR6wBV30yYp4s,LE COYOTE PARIS,"86 Rue des Archives, 75003 Paris, France",07 82 06 43 06,https://maps.google.com/?cid=10063179348314489067,OPERATIONAL,"bar, cafe, restaurant, store",,,True,True,False,True,,,True,,,True,,,4.4,60,"[{""author"": ""James"", ""rating"": 5, ""text"": ""Absolute delight and delicious. Lovely service and tres tres bonne cuisine. Magnifique! Mille merci Alphonse!"", ""time"": ""il y a 4 mois""}, {""author"": ""Julie"", ""rating"": 5, ""text"": ""Un délice ! Ne sachant pas prendre de décision devant la carte (tout me donnait envie), je me suis laissée portée par la cheffe. Que ce soit le cadre, les plats ou encore l'équipe, c'était une très bonne recette pour passer un bon moment. Je reviendrai, merci 🤗\nJe conseille de réserver !"", ""time"": ""il y a 3 mois""}, {""author"": ""emma BRIERRE"", ""rating"": 5, ""text"": ""Derrière ses portes battantes, Le Coyote dévoile un écrin intime et chaleureux, où l’esprit du saloon est réinterprété avec beaucoup d'élégance. Les assiettes sont raffinées et gourmandes, avec la touche d'originalité qui caractérise la cuisine de Marine Gora. Ribs redoutables, cornbread à tomber les éperons, Vermouths de caractère, lumière tamisée, playlist de circonstance, super accueil : on a adoré ! 🌟\nIl n'y a plus qu'à s'y ruer le matin, le midi, l'après-midi et le soir pour le voir briller sous toutes ces lumières.\n\nUn repaire queer-friendly et ouvert qui manquait à Paris."", ""time"": ""il y a 6 mois""}, {""author"": ""Cathy T"", ""rating"": 1, ""text"": ""Te-rri-ble. Vraiment pas bon, les boissons chaudes sont vraiment terribles, c’est extrêmement mauvais.\nJ’avais commandé un cookie qui a été oublié, je connaissais ceux de gramme si c’est la même recette ils sont très bons - au moins ça."", ""time"": ""il y a 3 mois""}, {""author"": ""MM TR"", ""rating"": 5, ""text"": ""Le nouveau projet de Marine Gore ne pouvait pas qu'être un carton. Coffeeshop de jour, saloon a tapas la nuit, la cuisine est de superbe qualité, metion spéciale aux Gildas aux goûts originaux et les ribs mijotés pendant 12h. A boire, il y en a pour tous les goûts, vins natures cocktails et même du vermouth.\nJ'adhère complètement à cette ambiance western"", ""time"": ""il y a 6 mois""}]",lundi: 17:30 – 00:00 | mardi: 17:30 – 00:00 | mercredi: 17:30 – 00:00 | jeudi: 17:30 – 00:00 | vendredi: 17:30 – 00:00 | samedi: 12:00 – 00:00 | dimanche: 12:00 – 00:00,True,0,,websites/LE_COYOTE_PARIS_V30yYp4s.html
